epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.411,1.61417,1.89415,1.65149,0.63764,0.62677,0.59803,0.28552,1.84903,2.10317,2.36772,0.000467673,0.000467673,0.000467673
2,128.566,1.6488,1.49526,1.66892,0.46741,0.49759,0.40912,0.17599,2.14393,4.16267,2.74876,0.000937776,0.000937776,0.000937776
3,132.655,1.65715,1.45519,1.6864,0.47339,0.5017,0.37489,0.16866,2.12507,7.66622,2.6163,0.00140159,0.00140159,0.00140159
4,136.68,1.64982,1.47827,1.69619,0.5218,0.44584,0.43862,0.18284,2.37536,3.48378,2.89416,0.00140071,0.00140071,0.00140071
5,140.678,1.63721,1.4005,1.66263,0.6882,0.55487,0.62342,0.29221,1.86617,2.14009,2.15186,0.00139127,0.00139127,0.00139127
6,144.746,1.58243,1.30504,1.63281,0.696,0.64082,0.6846,0.35355,1.77106,1.68045,2.08961,0.00138184,0.00138184,0.00138184
7,148.835,1.56256,1.28188,1.61805,0.61024,0.64693,0.65837,0.36169,1.61194,1.8508,1.86779,0.00137241,0.00137241,0.00137241
8,152.929,1.55315,1.23631,1.61303,0.68281,0.69168,0.71163,0.37714,1.66912,1.27189,1.86247,0.00136298,0.00136298,0.00136298
9,157.002,1.53847,1.19035,1.59719,0.73501,0.71082,0.72757,0.39488,1.67352,1.19832,1.8905,0.00135355,0.00135355,0.00135355
10,161.112,1.51583,1.17845,1.56389,0.69967,0.69363,0.7439,0.39592,1.69878,1.34631,1.91005,0.00134412,0.00134412,0.00134412
11,165.177,1.47894,1.16872,1.56647,0.66696,0.71853,0.72604,0.38934,1.61799,1.24984,1.79746,0.00133469,0.00133469,0.00133469
12,169.188,1.45559,1.10478,1.53507,0.7758,0.70161,0.77821,0.42274,1.60907,1.11106,1.83536,0.00132525,0.00132525,0.00132525
13,173.344,1.46744,1.09293,1.5493,0.73051,0.72461,0.76273,0.42611,1.62886,1.16051,1.80855,0.00131582,0.00131582,0.00131582
14,177.519,1.4524,1.09766,1.52475,0.79928,0.7532,0.80368,0.45491,1.5449,1.04613,1.78922,0.00130639,0.00130639,0.00130639
15,181.635,1.42468,1.05297,1.51135,0.79191,0.74548,0.79703,0.44823,1.63208,1.04677,1.78487,0.00129696,0.00129696,0.00129696
16,185.631,1.42242,1.04122,1.5153,0.79227,0.69176,0.76322,0.42018,1.63662,1.11927,1.82492,0.00128753,0.00128753,0.00128753
17,189.637,1.39141,1.02098,1.50755,0.81631,0.76783,0.81998,0.43995,1.59393,1.03477,1.8015,0.0012781,0.0012781,0.0012781
18,193.683,1.40903,1.01149,1.50295,0.7626,0.79116,0.80901,0.44345,1.62851,1.01714,1.83301,0.00126867,0.00126867,0.00126867
19,197.687,1.37214,0.99046,1.4705,0.7965,0.80053,0.83295,0.4706,1.53655,1.00994,1.73722,0.00125923,0.00125923,0.00125923
20,201.867,1.34712,0.971,1.46537,0.82976,0.76739,0.84837,0.48134,1.53278,0.92638,1.74319,0.0012498,0.0012498,0.0012498
21,205.966,1.32916,0.94359,1.44765,0.85778,0.80068,0.83592,0.47839,1.511,0.90601,1.70288,0.00124037,0.00124037,0.00124037
22,209.974,1.33218,0.93964,1.44675,0.86118,0.80965,0.85485,0.50609,1.45654,0.85376,1.68838,0.00123094,0.00123094,0.00123094
23,214.051,1.31256,0.90704,1.44896,0.86151,0.74396,0.81593,0.46603,1.57661,0.99111,1.76512,0.00122151,0.00122151,0.00122151
24,218.11,1.30229,0.88599,1.43473,0.79607,0.8047,0.82824,0.48588,1.52959,0.90424,1.75037,0.00121208,0.00121208,0.00121208
25,222.124,1.30656,0.87666,1.43324,0.8642,0.81141,0.874,0.50001,1.54193,0.8239,1.75916,0.00120265,0.00120265,0.00120265
26,226.154,1.3001,0.90982,1.43617,0.81541,0.75725,0.82078,0.46312,1.54351,1.0492,1.77059,0.00119322,0.00119322,0.00119322
27,230.161,1.28917,0.8678,1.42202,0.8713,0.78222,0.85175,0.48813,1.48021,0.86156,1.74624,0.00118378,0.00118378,0.00118378
28,234.172,1.30899,0.88142,1.43252,0.84428,0.77352,0.82232,0.48971,1.48344,0.89983,1.70932,0.00117435,0.00117435,0.00117435
29,238.203,1.28603,0.8555,1.40576,0.83124,0.81719,0.84013,0.49359,1.43181,0.84596,1.6504,0.00116492,0.00116492,0.00116492
30,242.251,1.26661,0.83911,1.40628,0.85759,0.78983,0.84039,0.49895,1.49219,0.85582,1.72527,0.00115549,0.00115549,0.00115549
31,246.318,1.24409,0.81319,1.38345,0.81821,0.79197,0.83137,0.47155,1.56463,0.86097,1.76825,0.00114606,0.00114606,0.00114606
32,250.375,1.26885,0.83925,1.40173,0.84918,0.79631,0.84832,0.49122,1.45077,0.88561,1.70107,0.00113663,0.00113663,0.00113663
33,254.439,1.24436,0.84098,1.40265,0.86355,0.77103,0.84851,0.49623,1.47132,0.85044,1.69469,0.0011272,0.0011272,0.0011272
34,258.525,1.23663,0.80967,1.38442,0.89207,0.80873,0.86151,0.48971,1.47517,0.83566,1.7219,0.00111776,0.00111776,0.00111776
35,262.64,1.21098,0.78678,1.3599,0.85483,0.8323,0.84942,0.50129,1.45572,0.82096,1.67888,0.00110833,0.00110833,0.00110833
36,266.715,1.22116,0.79206,1.35397,0.83404,0.82566,0.87583,0.5075,1.45055,0.843,1.6891,0.0010989,0.0010989,0.0010989
37,270.868,1.2141,0.76316,1.36875,0.85049,0.7957,0.837,0.49505,1.4676,0.85982,1.70306,0.00108947,0.00108947,0.00108947
38,274.915,1.21949,0.79774,1.36637,0.88288,0.81037,0.86604,0.50097,1.49358,0.7996,1.7,0.00108004,0.00108004,0.00108004
39,278.961,1.19737,0.76703,1.36361,0.86875,0.79466,0.85639,0.50528,1.47626,0.87127,1.68885,0.00107061,0.00107061,0.00107061
40,283.035,1.19606,0.76353,1.33326,0.91233,0.77923,0.8293,0.49809,1.45172,0.87152,1.70506,0.00106118,0.00106118,0.00106118
41,287.076,1.18959,0.77248,1.34294,0.91915,0.7797,0.87069,0.51453,1.46765,0.77447,1.71076,0.00105174,0.00105174,0.00105174
