epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.18101,0.82658,0.67099,1.1634,0.7569,0.76481,0.80408,0.52724,1.31259,0.99743,1.59023,0.00053344,0.00053344,0.00053344
2,126.673,0.90056,0.77152,1.2299,0.80256,0.68235,0.74532,0.46663,1.354,1.05596,1.64112,0.00107724,0.00107724,0.00107724
3,129.834,0.95165,0.85744,1.2572,0.75597,0.67394,0.75011,0.44224,1.47424,1.13315,1.70839,0.00161463,0.00161463,0.00161463
4,132.977,1.00265,0.88056,1.27746,0.71021,0.69324,0.73836,0.43714,1.45287,1.14966,1.71559,0.00163788,0.00163788,0.00163788
5,136.123,1.01907,0.93851,1.28174,0.73917,0.73123,0.78428,0.46291,1.51639,1.15434,1.71538,0.00162817,0.00162817,0.00162817
6,139.267,1.02918,0.8906,1.28772,0.71554,0.70534,0.71822,0.43018,1.46823,1.16016,1.72746,0.00161846,0.00161846,0.00161846
7,142.413,1.02735,0.90777,1.29888,0.73187,0.68917,0.72671,0.43168,1.48249,1.20515,1.76334,0.00160875,0.00160875,0.00160875
8,145.572,1.05048,0.91392,1.3003,0.69369,0.70332,0.72339,0.43982,1.44755,1.20648,1.71118,0.00159905,0.00159905,0.00159905
9,148.718,1.01315,0.95487,1.30801,0.7675,0.71399,0.76058,0.46855,1.41964,1.02482,1.69195,0.00158934,0.00158934,0.00158934
10,151.872,1.02076,0.90536,1.29286,0.80059,0.76249,0.80571,0.46967,1.43464,1.03831,1.66546,0.00157963,0.00157963,0.00157963
11,155.052,1.08261,0.95511,1.33489,0.78519,0.69599,0.76353,0.44669,1.52928,1.16802,1.67984,0.00156992,0.00156992,0.00156992
12,158.224,1.04943,0.91194,1.2941,0.74506,0.58744,0.69288,0.40148,1.50879,1.26377,1.72469,0.00156021,0.00156021,0.00156021
13,162.071,1.02819,0.91365,1.29947,0.76193,0.66978,0.76134,0.47737,1.37731,1.08746,1.65863,0.00155051,0.00155051,0.00155051
14,165.251,1.0372,0.95671,1.30118,0.70534,0.71399,0.73489,0.44928,1.4402,1.14339,1.64262,0.0015408,0.0015408,0.0015408
15,168.416,0.99925,0.90695,1.28988,0.68507,0.75422,0.75126,0.47673,1.36844,1.11986,1.6835,0.00153109,0.00153109,0.00153109
16,171.599,1.02441,0.90306,1.2936,0.77126,0.67675,0.76923,0.41056,1.6771,1.18161,1.89412,0.00152138,0.00152138,0.00152138
17,174.774,1.0238,0.90698,1.28771,0.83623,0.72043,0.79379,0.48196,1.39058,1.03136,1.6892,0.00151167,0.00151167,0.00151167
18,177.964,1.01966,0.89414,1.29729,0.75599,0.71291,0.76725,0.48388,1.43093,1.06019,1.65808,0.00150197,0.00150197,0.00150197
19,181.147,1.01671,0.89657,1.28861,0.68624,0.77799,0.74583,0.46114,1.42045,1.04718,1.62518,0.00149226,0.00149226,0.00149226
20,184.354,1.00126,0.87925,1.29431,0.81395,0.66403,0.75117,0.46847,1.4793,1.08818,1.72271,0.00148255,0.00148255,0.00148255
21,187.53,0.9779,0.82681,1.26206,0.75222,0.7297,0.73163,0.45199,1.42193,1.14011,1.62708,0.00147284,0.00147284,0.00147284
22,190.704,1.03206,0.90851,1.30779,0.84961,0.67492,0.78928,0.50218,1.33398,1.02384,1.58857,0.00146314,0.00146314,0.00146314
23,193.916,0.99939,0.87005,1.28323,0.82129,0.6274,0.7745,0.47855,1.37229,1.08336,1.59787,0.00145343,0.00145343,0.00145343
