epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.83112,0.71109,0.44888,0.99645,0.94131,0.76238,0.86532,0.51291,1.49768,0.88217,1.73019,0.000466612,0.000466612,0.000466612
2,45.9682,0.76709,0.47591,1.0255,0.90255,0.72878,0.82608,0.46165,1.58354,0.99579,1.76476,0.000938278,0.000938278,0.000938278
3,48.8462,0.8222,0.52885,1.06145,0.83028,0.76557,0.82298,0.4663,1.62261,0.94199,1.78458,0.00140523,0.00140523,0.00140523
4,51.6889,0.86784,0.57152,1.09287,0.87192,0.72892,0.7948,0.44651,1.56189,1.02937,1.77077,0.00140778,0.00140778,0.00140778
5,54.5328,0.90951,0.58711,1.12179,0.84529,0.76911,0.81102,0.43848,1.60838,1.01046,1.76816,0.00140071,0.00140071,0.00140071
6,57.3548,0.92049,0.60517,1.11486,0.82529,0.79091,0.80739,0.45502,1.59115,0.97052,1.70231,0.00139363,0.00139363,0.00139363
7,60.2023,0.9115,0.59943,1.11037,0.83422,0.77364,0.82256,0.46939,1.55055,0.99985,1.74344,0.00138656,0.00138656,0.00138656
8,63.0489,0.88886,0.5748,1.11718,0.8414,0.76361,0.82281,0.47405,1.58291,0.97615,1.76156,0.00137949,0.00137949,0.00137949
9,65.8916,0.90262,0.57567,1.11283,0.83217,0.76749,0.83467,0.45634,1.59957,0.97163,1.80438,0.00137241,0.00137241,0.00137241
10,68.7845,0.90381,0.59027,1.10424,0.92382,0.74724,0.87185,0.49632,1.50579,0.86914,1.67793,0.00136534,0.00136534,0.00136534
11,71.6381,0.89354,0.57664,1.1114,0.87728,0.74972,0.7984,0.45047,1.59413,1.04829,1.74752,0.00135826,0.00135826,0.00135826
12,74.4996,0.88427,0.57088,1.09089,0.82412,0.77524,0.83457,0.46671,1.55725,1.00659,1.71485,0.00135119,0.00135119,0.00135119
13,77.3656,0.88536,0.57926,1.10034,0.85797,0.78025,0.85306,0.47156,1.58224,0.96173,1.75377,0.00134412,0.00134412,0.00134412
14,80.2221,0.87281,0.53902,1.09688,0.86124,0.80233,0.84038,0.46701,1.59074,0.9492,1.81851,0.00133704,0.00133704,0.00133704
15,83.0837,0.9108,0.56479,1.11295,0.83702,0.78699,0.8248,0.4538,1.58655,0.94417,1.79404,0.00132997,0.00132997,0.00132997
16,85.9551,0.87606,0.5528,1.09629,0.83632,0.77267,0.80766,0.44336,1.61926,1.02504,1.77249,0.0013229,0.0013229,0.0013229
17,88.8843,0.86932,0.55969,1.08469,0.83086,0.74903,0.82007,0.44985,1.61361,1.01353,1.73164,0.00131582,0.00131582,0.00131582
