epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78491,1.49638,3.11598,0.01443,0.4609,0.5734,0.57822,0.27929,1.64031,1.78618,0.02781,0.000467673,0.000467673,0.000467673
2,7.41178,1.60287,1.70112,0.01551,0.60943,0.63831,0.66156,0.32962,1.69228,1.57271,0.03026,0.000938509,0.000938509,0.000938509
3,11.0881,1.66246,1.54499,0.01611,0.51428,0.6761,0.66825,0.30271,1.87055,1.65938,0.03409,0.0014038,0.0014038,0.0014038
4,14.6632,1.65967,1.46885,0.01603,0.70057,0.61506,0.64877,0.3065,1.85012,1.45137,0.03393,0.00140403,0.00140403,0.00140403
5,18.2043,1.63942,1.35615,0.01577,0.71075,0.66449,0.69432,0.34971,1.76783,1.39575,0.03193,0.00139571,0.00139571,0.00139571
6,22.082,1.62881,1.27998,0.01587,0.73671,0.7498,0.76487,0.40575,1.62266,1.13279,0.02814,0.00138739,0.00138739,0.00138739
7,25.7806,1.61223,1.2323,0.01558,0.79923,0.77374,0.82675,0.42186,1.73232,0.99883,0.03028,0.00137907,0.00137907,0.00137907
8,29.5004,1.53055,1.14952,0.01463,0.82111,0.69562,0.77441,0.41518,1.65182,1.04775,0.02879,0.00137075,0.00137075,0.00137075
9,33.0555,1.552,1.16442,0.01472,0.73305,0.73476,0.71892,0.39235,1.61759,1.12745,0.02796,0.00136243,0.00136243,0.00136243
10,36.629,1.54112,1.11279,0.01482,0.7876,0.76022,0.81103,0.42703,1.68572,0.98167,0.02902,0.0013541,0.0013541,0.0013541
11,40.3284,1.53961,1.07868,0.01444,0.82236,0.71706,0.7995,0.43305,1.66578,0.98123,0.02945,0.00134578,0.00134578,0.00134578
12,44.0758,1.55217,1.06488,0.01428,0.77659,0.77378,0.80229,0.4226,1.66677,0.98658,0.02948,0.00133746,0.00133746,0.00133746
13,47.6783,1.51105,1.00044,0.01441,0.76068,0.71688,0.76741,0.38856,1.72389,1.14308,0.03029,0.00132914,0.00132914,0.00132914
14,51.2737,1.50973,0.97711,0.01389,0.79557,0.72641,0.80962,0.45198,1.61701,0.96591,0.02812,0.00132082,0.00132082,0.00132082
15,54.9902,1.49778,1.01189,0.01407,0.78713,0.79642,0.82549,0.44971,1.59562,0.96509,0.02731,0.00131249,0.00131249,0.00131249
16,58.6786,1.46379,0.94804,0.01375,0.79715,0.78549,0.82727,0.44389,1.56017,0.97112,0.02705,0.00130417,0.00130417,0.00130417
17,62.2547,1.42569,0.92938,0.01328,0.82603,0.76258,0.8269,0.45741,1.56981,0.88585,0.02666,0.00129585,0.00129585,0.00129585
18,65.9608,1.44622,0.91346,0.01341,0.87757,0.75828,0.84787,0.46701,1.58189,0.92314,0.02748,0.00128753,0.00128753,0.00128753
19,69.662,1.45584,0.91021,0.01344,0.77757,0.79995,0.84528,0.47256,1.53331,0.88909,0.02637,0.00127921,0.00127921,0.00127921
20,73.3677,1.43429,0.87715,0.01321,0.80532,0.77528,0.82478,0.46536,1.5552,0.93508,0.02694,0.00127089,0.00127089,0.00127089
21,76.9806,1.43203,0.86226,0.0132,0.77024,0.78899,0.80425,0.42749,1.61814,0.92373,0.02762,0.00126256,0.00126256,0.00126256
22,80.552,1.40748,0.85518,0.01318,0.8487,0.78176,0.85071,0.48167,1.57503,0.87552,0.02676,0.00125424,0.00125424,0.00125424
23,84.273,1.36531,0.82169,0.01286,0.90453,0.74657,0.85635,0.47632,1.56769,0.83124,0.02691,0.00124592,0.00124592,0.00124592
24,87.8807,1.3768,0.82382,0.01275,0.83098,0.79505,0.85285,0.47328,1.57611,0.79034,0.02653,0.0012376,0.0012376,0.0012376
